subsecao,nome_subsecao,item,requisito,orientacoes,sugestao_evidencia
2.1,Jornada Do Paciente,32,"Cumprir com os critérios e procedimentos de segurança estabelecidos para a utilização de equipamentos, medicamentos e materiais, assegurando o uso adequado, rastreável e em conformidade com normas técnicas e regulatórias.","A segurança deve ser garantida por meio da aplicação de protocolos operacionais padronizados, contemplando: Utilização segura de equipamentos diagnósticos e terapêuticos, incluindo checagem de funcionamento, calibração, higienização e rastreabilidade dos equipamentos utilizados em cada exame ou procedimento. Uso adequado e obrigatório de EPIs (Equipamentos de Proteção Individual) e EPCs (Equipamentos de Proteção Coletiva), conforme o tipo de exposição, risco ocupacional e natureza do proce-dimento. Identificação visível e padronizada dos profissionais envolvidos no atendimento, favorecendo a comunicação e a segurança do paciente. Controle rigoroso sobre medicamentos, contrastes, radiofármacos e materiais, garantindo armazenamento, preparo e descarte conforme normas institucionais e legais. Monitoramento de conformidade com os requisitos de biossegurança, radioproteção e normas regulatórias. Essas práticas devem estar integradas ao Sistema de Gestão da Qualidade e Segurança do Paciente, promovendo a cultura de segurança, a prevenção de falhas e a rastreabilidade das ações assistenciais e de apoio. Impacto na jornada: Assegura um ambiente assistencial seguro, minimiza riscos ocupacionais e técnicos, previne eventos adversos e reforça a confiança e a previsibilidade dos resultados diagnósticos e terapêuticos.","Procedimentos formalizados. Registros de checagem, calibração e rastreabilidade dos equipamentos utilizados em exames e terapias. Comprovantes de capacitação e treinamentos sobre biossegurança, radioproteção e manuseio de equipamentos. Registros de controle de validade, armazenamento e descarte de medicamentos e materiais. Checklists de conformidade sobre uso de EPIs (Equipamentos de Proteção Individual) e EPCs (Equipamentos de Proteção Coletiva). Registros de identificação dos profissionais. Relatórios de auditoria interna ou inspeções de segurança com planos de ação para não conformidades."
2.1,Jornada Do Paciente,33,"Estabelecer e assegurar que todas as etapas relacionadas à análise, transcrição, retificação, liberação e comunicação dos resultados de exames e procedimentos sejam realizadas de forma segura, rastreável e validada, garantindo a integridade das informações e a continuidade do cuidado assistencial.","O processo de gestão dos resultados deve contemplar controles e validações que assegurem: Análise técnica e conferência dos resultados por profissionais qualificados, conforme normas técnicas e regulatórias. Transcrição fidedigna dos dados, evitando erros de digitação ou interpretação. Procedimentos formais de retificação e republicação de laudos, com registro da justificativa, versão anterior e responsável técnico. Liberação autorizada e rastreável, com identificação do profissional responsável e horário de validação. Comunicação estruturada e documentada de resultados críticos ou inconclusivos, com comprovação de recebimento pela equipe assistencial. Segurança e confidencialidade da informação, conforme políticas institucionais e legislação vigente. O SADT (Serviço de Apoio Diagnóstico e Terapêutico) deve monitorar falhas e inconsistências nessas etapas, analisar suas causas e implementar ações corretivas e preventivas, fortalecendo a confiabilidade dos resultados e a segurança do paciente. Impacto na jornada: Assegura que os resultados diagnósticos e terapêuticos sejam precisos, comunicados em tempo oportuno e utilizados com confiança na tomada de decisão clínica, prevenindo erros assistenciais e garantindo continuidade segura do cuidado.","Procedimentos operacionais padrão sobre análise, transcrição, retificação, validação e liberação de resultados. Registros de validação técnica e liberação de laudos, com identificação do profissional responsável. Registros de retificações e versões anteriores de resultados, com justificativas documentadas. Sistemas informatizados de rastreabilidade e controle de acesso aos resultados. Protocolos e registros de comunicação de resultados críticos ou inconclusivos. Relatórios de não conformidades e planos de ação referentes a erros de transcrição, atraso de liberação ou falhas de comunicação. Dados como tempo médio de liberação, taxa de retrabalho, retificações e resultados críticos comunicados, dentre outros."
2.1,Jornada Do Paciente,34,"Dispor de critérios e controles formais para garantir a entrega segura, rastreável e confidencial dos resultados de exames e procedimentos diagnósticos e terapêuticos, assegurando que sejam disponibilizados apenas ao paciente, responsável legal ou equipe assistencial autorizada.","A entrega dos resultados deve seguir procedimentos padronizados que assegurem: identificação sem possibilidade de erro do paciente ou responsável legal antes da entrega, conforme protocolo institucional. Comprovação e registro da entrega, seja física (assinatura ou recibo) ou eletrônica (logs de acesso em sistema). Controle de confidencialidade e sigilo profissional, observando a legislação vigente e a LGPD (Lei Geral de Proteção de Dados Pessoais). Autorização formal para terceiros em casos de entrega a representantes, familiares ou cuidadores. Critérios de tempo máximo de disponibilização dos resultados, garantindo resposta em tempo hábil para continuidade do cuidado. Mecanismos de segurança digital, quando a entrega for eletrônica, com autenticação e rastreabilidade de acessos. Esses controles devem estar integrados ao Sistema de Gestão da Qualidade e Segurança do Paciente, garantindo rastreabilidade, prevenção de erros e confiança no processo de entrega de resultados. Impacto na jornada: Assegura o sigilo das informações, evita extravio ou acesso indevido aos resultados e garante que o paciente ou responsável receba as informações corretas e no tempo necessário para continuidade da assistência.",Procedimentos operacionais padronizados sobre entrega física e eletrônica de resultados. Registros de entrega com identificação do paciente ou responsável legal. Logs ou relatórios de acesso eletrônico a resultados em sistemas informatizados. Diretriz de confidencialidade e termo de consentimento para entrega a terceiros. Informações de prazo médio de disponibilização de resultados. Registros de incidentes ou não conformidades relacionadas a falhas de entrega ou violação de confidencialidade.
2.1,Jornada Do Paciente,35,"Assegurar que todas as informações relacionadas ao atendimento do paciente sejam registradas de forma legível, íntegra, rastreável e confidencial no prontuário, físico ou eletrônico, em conformidade com as normas institucionais, legais e éticas.","Os registros do SADT (Serviço de Apoio Diagnóstico e Terapêutico) devem refletir, de maneira fidedigna, todas as etapas do cuidado e estar integrados ao prontuário do paciente para garantir continuidade e segurança assistencial. O processo deve contemplar: Identificação adequada do paciente em todos os registros e documentos. Registro completo dos procedimentos realizados, incluindo data, hora, profissional responsável e equipamentos utilizados. Evolução clínica e técnica, com descrição de intercorrências, condutas e resultados relevantes. Controle de acesso e confidencialidade, conforme as políticas institucionais e a LGPD (Lei Geral de Proteção de Dados Pessoais). Assinatura física ou eletrônica dos profissionais responsáveis pelos registros. Revisão periódica da qualidade e completude dos registros, com ações corretivas em caso de inconsistências ou omissões. Essas práticas devem estar integradas ao Sistema de Gestão da Qualidade e Segurança do Paciente, assegurando rastreabilidade e integridade das informações assistenciais. Assegurar o registro da transferência de informações entre equipes. Impacto na jornada: Garante a continuidade e a segurança do cuidado, evita perdas ou divergências de informações, e fortalece a confiabilidade dos resultados diagnósticos e terapêuticos, além de proteger o paciente e a instituição sob o ponto de vista ético e legal.","Procedimentos operacionais padronizados sobre registro e preenchimento de prontuários. Modelos de formulários ou telas de prontuário eletrônico com campos obrigatórios e rastreáveis. Registros de procedimentos, resultados e evolução assinados por profissionais habilitados. Auditorias de qualidade dos registros assistenciais. Relatórios de controle de acesso e confidencialidade (logs de sistema). Treinamentos sobre registro seguro, ética e proteção de dados (LGPD)."
2.1,Jornada Do Paciente,36,"Assegurar que as transferências intra e extra-hospitalares de pacientes ocorram de forma planejada, segura e acompanhada, garantindo a continuidade e a integridade do cuidado, conforme protocolos institucionais e o estado clínico do paciente.","A transferência de pacientes, seja entre setores internos da instituição (intra­-hospitalar) ou para outros serviços e unidades de saúde (extra-hospitalar), deve ocorrer segundo critérios clínicos definidos e protocolos padronizados de segurança e comunicação. O processo deve contemplar: Avaliação prévia da condição clínica e do risco do paciente antes da transferência. Definição dos recursos necessários (equipamentos, monitorização, oxigênio, medicamentos e equipe de apoio). Uso de equipamentos de transporte em condi­ções adequadas de higienização e funcionamento. Identificação adequada do paciente, com pulseira e documentação acompanhando o traslado. Comunicação estruturada entre as equipes de origem e destino, incluindo dados clínicos, condutas em curso e precauções específicas. Registros no prontuário com data, horário, equipe envolvida e intercorrências durante o transporte. Acompanhamento de pacientes críticos ou vulneráveis por profis­sional habilitado. Essas ações devem estar alinhadas às diretrizes do Sistema de Gestão da Qualidade e Segurança do Paciente, reforçando a cultura de segurança e a continuidade do cuidado assistencial. Impacto na jornada: Previne riscos de incidentes durante o transporte, assegura a integridade clínica do paciente e garante comunicação eficaz e continuidade segura do cuidado entre as áreas envolvidas.","Protocolos ou procedimentos institucionais de transferência intra e extra-hospitalar de pacientes. Checklists de verificação pré e pós-transferência. Registros no prontuário com data, hora, equipe responsável e condições do paciente. Relatórios de intercorrências e ações corretivas. Treinamentos das equipes assistenciais e de transporte sobre segurança durante a transferência. Dados como número de incidentes ou atrasos em transferências."
2.1,Jornada Do Paciente,37,"Dispor de planos de contingência estruturados, atualizados e testados, que garantam a continuidade e a segurança das atividades diagnósticas e terapêuticas em situações de falhas operacionais, tecnológicas, estruturais ou emergenciais.","Os planos de contingência devem prever ações imediatas, responsabilidades definidas e fluxos alternativos para garantir a manutenção do cuidado ao paciente, mesmo diante de eventos imprevistos. O planejamento deve contemplar: Falhas em equipamentos e sistemas informatizados. Interrupções de energia elétrica, fornecimento de água ou rede de gases medicinais. Indisponibilidade de insumos críticos ou reagentes. Emergências ou evacuação. Definição clara de responsáveis e meios de comunicação durante a contingência. Planos alternativos para registro e liberação de resultados enquanto os sistemas estão indisponíveis. Ações de retorno à normalidade e análise de causa após o evento. Os planos devem ser periodicamente revisados, simulados e comunicados às equipes, integrando-se ao Sistema de Gestão da Qualidade e Segurança do Paciente e à gestão de riscos da organização. O teste é a verificação prática ou técnica de que o plano de contingência funciona como planejado. Serve para comprovar se os procedimentos, recursos, responsáveis e comunicações respondem adequadamente em uma situação de falha ou emergência. O simulado serve para reproduzir uma situação real. Impacto na jornada: Garante a continuidade segura do cuidado, minimiza atrasos e riscos durante falhas operacionais e fortalece a resiliência do serviço diante de situações críticas.",Planos de contingência documentados e aprovados pelos responsáveis. Registros de simulações e testes de contingência. Listas de contatos e responsabilidades definidas para emergências. Relatórios de ocorrências reais e ações corretivas implementadas. Procedimentos operacionais alternativos para registro e liberação de resultados. Treinamentos das equipes sobre resposta a emergências e contingências.
2.1,Jornada Do Paciente,38,"Considerar as características individuais, clínicas e sociais dos pacientes em todas as etapas do atendimento assegurando condições adequadas, seguras e personalizadas para cada perfil de usuário.","As características individuais influenciam diretamente o preparo, a execução e a interpretação dos exames e procedimentos. O serviço deve identificar e registrar aspectos como: Condição clínica e funcional (mobilidade reduzida, dor, estado crítico, gestação, idade avançada, obesidade, limitações cognitivas). Comorbidades e alergias conhecidas, especialmente a medicamentos, contrastes e materiais utilizados. Necessidades especiais de comunicação, como deficiência auditiva, visual, dificuldades de compreensão, idioma ou barreiras culturais. Condições psicológicas e emocionais, que possam demandar abordagem diferenciada. Condições sociais e de vulnerabilidade, garantindo acolhimento humanizado e acessibilidade física. Essas informações devem orientar o planejamento do atendimento, a preparação do ambiente, a escolha dos equipamentos, o uso de medicamentos ou contrastes e a comunicação com o paciente e sua família. O processo deve estar integrado ao prontuário do paciente e alinhado às diretrizes do Sistema de Gestão da Qualidade e Segurança do Paciente. Impacto na jornada: Favorece um atendimento individualizado, seguro e humanizado, reduz o risco de incidentes e melhora a experiência do paciente, promovendo equidade e qualidade assistencial nos procedimentos diagnósticos e terapêuticos.","Protocolos e formulários de identificação de necessidades específicas dos pacientes. Registros no prontuário sobre alergias, limitações, comorbidades e precauções. Procedimentos operacionais sobre adequações de ambiente e preparo conforme o perfil do paciente. Registros de acessibilidade e apoio a pacientes com deficiência ou mobilidade reduzida. Capacitações das equipes sobre comunicação efetiva, atendimento humanizado e abordagem de grupos vulneráveis. Planos de cuidado diferenciados ou adaptações técnicas registradas para casos específicos."
2.1,Jornada Do Paciente,39,"Monitorar faltas, reagendamentos, adesão às orientações de preparo e repetição de exames, promovendo ações corretivas com foco na continuidade e resolutividade do cuidado.","Acompanhar indicadores que impactam diretamente a experiência e a efetividade diagnóstica ou terapêutica: ausências, exames não realizados por falha no preparo, necessidade de repetição ou atrasos em laudos. Deve identificar causas (exemplos: falhas na comunicação, barreiras sociais ou tecnológicas) e implementar ações educativas e assistenciais.","Indicadores: taxa de faltas, reagendamentos, exames inconclusivos, entre outros. Registros de ações corretivas (ajustes em comunicação, agendamento, preparo). Comunicação com equipes assistenciais para evitar rupturas na jornada. Busca ativa ou contato com pacientes faltosos."
2.1,Jornada Do Paciente,40,"Gerenciar os protocolos clínicos e procedimentos técnicos com base em evidência para a realização de exames e terapias, assegurando precisão, rastreabilidade e segurança do paciente.","O SADT (Serviço de Apoio Diagnóstico e Terapêutico) deve assegurar o uso de protocolos padronizados, atualizados e adaptados ao perfil de atendimento e dos pacientes, contemplando segurança do procedimento, preparo adequado, critérios de contraindicação e protocolos para populações específicas (crianças, gestantes, pacientes frágeis).","Protocolos atualizados para exames de imagem, laboratório, hemodinâmica, fisioterapia, entre outros. Registros de capacitação das equipes. Verificação de rastreabilidade e conformidade técnica. Indicadores de não conformidades e erros evitáveis."
2.1,Jornada Do Paciente,41,"Gerenciar riscos relacionados à realização de exames e procedimentos terapêuticos, com foco na prevenção de eventos adversos e incidentes.","A instituição deve prever, monitorar e atuar sobre riscos do SADT (Serviço de Apoio Diagnóstico e Terapêutico), como uso de contraste, reações adversas, falhas de identificação, quedas, infecções, entre outros. Deve promover barreiras de segurança e cultura de notificação.","Registros de incidentes e reações adversas. Protocolos de segurança do paciente adaptados ao SADT (Serviço de Apoio Diagnóstico e Terapêutico), Ações de capacitação sobre riscos e segurança. Análise de causas e planos de ação."
2.1,Jornada Do Paciente,42,"Gerenciar de forma estruturada os processos de SADT (Serviço de Apoio Diagnóstico e Terapêutico) com impacto direto na jornada do paciente, assegurando sua disponibilidade, qualidade e conformidade técnica.","A instituição deve ter uma gestão organizada dos processos do SADT, abrangendo as diferentes modalidades de serviço (como Diagnóstico por Imagem, Análises Clínicas, Endoscopia, Medicina Nuclear e Métodos Gráficos), assegurando que esses serviços operem dentro dos padrões de qualidade estabelecidos. O gerenciamento deve focar na interface e fluidez entre os serviços do SADT e os demais setores, pois a ausência ou falha na integração entre eles pode comprometer etapas essenciais da jornada do paciente, como a agilidade no diagnóstico e a continuidade das terapias.","Plano de gerenciamento dos apoios, Estrutura organizacional com responsáveis definidos, Relatórios periódicos de desempenho e conformidade, Procedimentos operacionais e indicadores-chave de processos, Atas de reuniões de acompanhamento e relatórios de melhorias Implementadas."
2.1,Jornada Do Paciente,43,"Assegurar a integração efetiva entre as áreas de apoio diagnóstico e terapêutico e os serviços assistenciais, promovendo comunicação estruturada, entregas em tempo oportuno e suporte técnico qualificado às decisões clínicas, de forma a garantir a continuidade e a confiabilidade do cuidado prestado","A integração entre o SADT (Serviço de Apoio Diagnóstico e Terapêutico) e os serviços assistenciais é essencial para a segurança e a efetividade do cuidado. Essa articulação deve envolver: Fluxos de comunicação intersetorial definidos e acessíveis, que garantam o envio e recebimento de solicitações, resultados e informações complementares. Cumprimento dos prazos de entrega de exames e terapias, de acordo com a urgência e complexidade dos casos. Suporte direto à equipe clínica, com esclarecimentos técnicos, interpretação de resultados e participação em condutas terapêuticas, quando aplicável. Mecanismos de rastreabilidade e registro das interações, fortalecendo a confiabilidade das informações diagnósticas e terapêuticas. Essas práticas devem estar alinhadas às diretrizes do Sistema de Gestão da Qualidade e Segurança do Paciente, assegurando a continuidade, a rastreabilidade e a tomada de decisão segura e multiprofissional. Impacto na jornada: Favorece a fluidez dos processos assistenciais, reduz atrasos no diagnóstico e tratamento, e assegura decisões clínicas mais precisas, colaborativas e baseadas em informações confiáveis.","Registros de tempo entre solicitação, execução e entrega de exames ou terapias. Protocolos ou fluxos de comunicação intersetorial entre SADT (Serviço de Apoio Diagnóstico e Terapêutico) e unidades assistenciais. Atas ou registros de reuniões clínicas integradas com participação do SADT (Serviço de Apoio Diagnóstico e Terapêutico). Relatórios de casos clínicos demonstrando o impacto do diagnóstico ou terapia na conduta assistencial. Dados como tempo de resposta e taxa de retrabalho por falha de comunicação."
2.1,Jornada Do Paciente,44,Incorporar a escuta ativa das partes interessadas no planejamento e aprimoramento dos processos de apoio.,"A instituição deve estruturar mecanismos de escuta e consulta às áreas assistenciais, administrativas e demais usuários internos como por exemplo, pacientes, familiares e acompanhantes dos serviços de apoio. Essa escuta qualificada permite alinhar expectativas, identificar necessidades não atendidas e construir soluções que fortaleçam a integração e o suporte efetivo à jornada do paciente.","Registros de reuniões, fóruns ou comissões com representantes das áreas assistenciais. Resultados de pesquisas internas de satisfação com os serviços de apoio, Relatórios de tratativas ou melhorias realizadas com base nas sugestões dos usuários. Formulários ou canais permanentes de feedback institucionalizado. Relato de boas práticas originadas da escuta ativa."
2.1,Jornada Do Paciente,45,"Gerenciar os prazos, entregas e interações dos processos de diagnóstico e terapêutica.","A gestão dos processos do SADT (Serviço de Apoio Diagnóstico e Terapêutico) deve garantir que os fluxos de trabalho estejam organizados, com as entregas de resultados e terapias dentro dos prazos esperados, evitando atrasos ou interrupções que possam comprometer a conduta clínica. Isso inclui o uso de ferramentas para acompanhamento da demanda de exames, definição de prioridades (urgências), respostas ágeis sobre não conformidades e o registro de todas as interações.","Protocolos de prazos e níveis de serviço (SLA) entre apoio e assistência. Registros de atendimento de chamados ou solicitações dos setores. Sistemas ou planilhas de controle de entregas e atendimento de demandas. Indicadores de tempo-resposta dos serviços de apoio. Relatórios de não conformidades por atrasos, interrupções ou falhas de entrega."
2.1,Jornada Do Paciente,46,"Gerenciar de forma sistemática os resultados das auditorias internas e externas, sejam elas clínicas ou de processos, assegurando a análise de causas, a definição e a implementação de ações corretivas, preventivas e de melhoria com base nos achados identificados.","A organização deve manter uma sistemática estruturada de auditorias, que contemple planejamento, execução, registro, análise crítica e acompanhamento das ações decorrentes. Os resultados das auditorias, internas, externas ou específicas (como clínicas e de processo), devem ser utilizados como ferramenta de gestão, aprendizado organizacional e melhoria contínua, com envolvimento das equipes e lideranças na identificação das causas, no tratamento das não conformidades e na avaliação das ações implantadas. É essencial que a análise priorize os achados relacionados à segurança diagnóstica, rastreabilidade de amostras e conformidade técnica dos equipamentos.",Relatórios e registros de auditorias; análises de causa e planos de ação decorrentes dos achados; e avaliações do impacto das ações implementadas.
2.1,Jornada Do Paciente,47,"Gerenciar o processo de validação, liberação e entrega dos resultados de exames, assegurando que a comunicação ocorra de forma segura e rastreável, garantindo a confiabilidade das informações e a continuidade do cuidado.","O processo de entrega dos resultados deve ser estruturado e monitorado em todas as suas etapas, da validação técnica à disponibilização final ao paciente ou equipe assistencial. Devem ser adotados mecanismos que assegurem: Controle de qualidade e dupla verificação antes da liberação dos resultados. Sistemas seguros e rastreáveis de emissão, arquivamento e acesso aos laudos. Critérios de confidencialidade e sigilo profissional, em conformidade com normas éticas e de proteção de dados. Procedimentos para comunicação estruturada de resultados críticos, com registro da notificação e da resposta da equipe assistencial. Espera-se que o SADT (Serviço de Apoio Diagnóstico e Terapêutico) realize uma análise de causas e de não conformidades relacionadas a atrasos, erros de liberação ou falhas de comunicação, implementando ações corretivas e preventivas que fortaleçam a segurança e a efetividade do processo. Assegurar controle sobre todo o processo de validação, liberação e comunicação dos resultados, com mecanismos seguros de acesso e entrega ao paciente ou equipe clínica. Impacto na jornada: Evita erros de interpretação, perda de informação e garante continuidade assistencial.",Registros de liberação e rastreabilidade de laudos. Sistemas informatizados com controle de acesso e histórico de alterações. Critérios documentados de validação e confidencialidade. Relatórios de não conformidades e planos de ação relacionados à entrega de resultados. Evidências de comunicação de resultados críticos e análise das causas de falhas no processo.
2.1,Jornada Do Paciente,48,"Integrar-se de forma estratégica e contínua à jornada do paciente, promovendo decisões clínicas mais seguras e desfechos assistenciais qualificados.","O SADT (Serviço de Apoio Diagnóstico e Terapêutico) atua como elo ativo na coordenação do cuidado, não apenas executando exames ou terapias, mas gerando conhecimento clínico relevante, apoiando decisões e contribuindo para a alta segura e para a continuidade assistencial. Exemplos de atuação incluem: Suporte técnico para Análises Clínicas em casos complexos; a correlação clínico-patológica na Anatomia Patológica para validação diagnóstica; e a participação ativa em discussões de casos clínicos ou reuniões multidisciplinares para definição de conduta.","Participação em rounds clínicos e reuniões multiprofissionais. Protocolo para comunicação ativa de achados críticos. Análise de impacto dos resultados do SADT nos desfechos (exemplo: alta precoce, mudança de conduta)."
2.1,Jornada Do Paciente,49,Utilizar dados consolidados do SADT (Serviço de Apoio Diagnóstico e Terapêutico) para promover melhorias sustentadas e baseadas em valor.,"O SADT (Serviço de Apoio Diagnóstico e Terapêutico) deve consolidar e analisar sistematicamente informações de desempenho geradas nos serviços, tais como tempos, qualidade técnica, incidentes, não conformidades, adesão a barreiras e medidas preventivas, experiência do paciente e resultados clínicos. Essa análise deve subsidiar a implementação de melhorias que aumentem o valor do cuidado, reduzam ineficiências e apoiem a tomada de decisão clínica e institucional.","Painel de indicadores de efetividade e qualidade. Projetos de melhoria contínua com impacto no uso racional de exames. Indicadores de exames evitáveis, adesão a protocolos, tempo de entrega de laudos, entre outros. Ações com base na avaliação da experiência do paciente e/ou percepção dos usuários."
2.1,Jornada Do Paciente,50,"Implementar estratégias inovadoras e seguras no SADT (Serviço de Apoio Diagnóstico e Terapêutico), com uso de tecnologia, inteligência clínica e práticas centradas no paciente.","O SADT (Serviço de Apoio Diagnóstico e Terapêutico) adota inovações que aumentam a eficiência, a precisão diagnóstica e a segurança do paciente, como inteligência artificial para triagem de exames, telessaúde para laudos ou orientações, automação de processos e interface com dispositivos conectados IoT (Internet das Coisas), uso de dispositivos vestíveis (wearables) para monitoramento remoto e contínuo do estado de saúde, entre outros. Automação de processos administrativos e clínicos (exemplos: acolhimento, informações de preparo, orientações para os exames, elaboração dos laudos, entre outros). Algumas métricas podem ser utilizadas, como por exemplo: redução no uso de papel e energia após a digitalização de processos, indicadores de otimização logística por meio de sistemas inteligentes, dentre outros.","Uso de IA (Inteligência Artificial) para suporte à decisão clínica (exemplo: radiologia, laboratório). Aplicações de telessaúde vinculadas ao SADT (Serviço de Apoio Diagnóstico e Terapêutico). Indicadores dos processos que evidenciam a efetividade, precisão diagnóstica e impacto da tecnologia. Avaliações do impacto do uso de recursos digitais."
2.1,Jornada Do Paciente,51,"Avaliar sistematicamente a efetividade dos processos de SADT (Serviço de Apoio Diagnóstico e Terapêutico), considerando o impacto na jornada do paciente na qualidade do cuidado","A instituição deve ir além da simples execução operacional, avaliando se os processos do SADT contribuem de fato para diagnósticos oportunos, segurança do paciente, redução de tempo de espera, e melhora dos desfechos clínicos. Essa avaliação deve envolver a análise crítica da performance do serviço, a correlação dos resultados com a jornada do paciente e a aplicação de ações corretivas ou aprimoramentos.","Indicadores de efetividade assistencial (exemplo: Tempo de Liberação de Laudos, tempo de espera do paciente, taxa de repetição de exames ou testes). Análise de impacto dos processos do SADT (Serviço de Apoio Diagnóstico e Terapêutico) em desfechos clínicos e operacionais. Relatórios de correlação entre falhas de processo e eventos adversos/ocorrências clínicas. Planos de ação com melhorias aplicadas e avaliadas."
2.1,Jornada Do Paciente,52,"Consolidar ciclos de melhoria contínua nos processos de SADT (Serviço de Apoio Diagnóstico e Terapêutico), com base em dados, riscos, au­ditorias de processos, evidências e participação multiprofissional.","A organização deve demonstrar maturidade na gestão por meio de ciclos sistemáticos de análise, planejamento, implementação, avaliação e institucionalização de melhorias nos processos do SADT (Serviço de Apoio Diagnóstico e Terapêutico). Tais ciclos devem considerar tanto a eficiência e segurança técnica interna (exemplo: padronização de protocolos de exames e laudos, rastreabilidade de amostras) quanto o reflexo na jornada e desfecho clínico do paciente, integrando o diagnóstico e a terapêutica ao cuidado assistencial.","Projetos de melhoria estruturados (exemplo: PDSA, A3, Lean, Six Sigma) aplicados aos processos de diagnóstico e terapêutica. Evidência de indicadores de desempenho antes/depois da implementação de melhorias. Envolvimento das equipes assistenciais nos projetos de melhoria do SADT (Serviço de Apoio Diagnóstico e Terapêutico). Relatórios com ganhos assistenciais e operacionais consolidados."
2.1,Jornada Do Paciente,53,Gerenciar a efetividade das ações de prevenção definidas frente aos riscos dos processos.,"A organização deve ir além da simples implementação de barreiras e contingências, demonstrando capacidade de analisar a efetividade real das ações de prevenção adotadas e de ajustá-las de forma contínua. Devem ser considerados riscos assistenciais (exemplo: uso de contraste e radiofármacos) e operacionais (exemplo: falha de equipamentos), priorizando aqueles de maior impacto na jornada do paciente. A avaliação deve contemplar indicadores, análises de incidentes, farmacovigilância, tecnovigilância e hemovigilância, e resultados de auditorias. É essencial que os resultados sejam discutidos de forma multiprofissional e subsidiem planos de melhoria contínua, fortalecendo a aprendizagem organizacional.","Avaliação documentada da efetividade das barreiras e medidas de controle implementadas, baseada em análises críticas de indicadores de processo, notificações de biovigilância e farmacovigilância, análise e tratativas de incidentes, tecnovigilância, auditorias internas e revisões contínuas do fluxo do setor."
2.1,Jornada Do Paciente,54,"Sustentar um ambiente favorável para a aprendizagem, cultura justa e colaboração entre as equipes.","Definir ações contínuas e sistematizadas para a promoção e o fortalecimento de um ambiente favorável para a aprendizagem, cultura justa e colaboração entre equipes. Promover ativamente a cultura justa, diferenciando falhas de sistema de condutas de risco, incentivando a notificação aberta de incidentes de diagnóstico e terapia. Incluir a discussão multiprofissional de falhas e o uso de simulações realísticas para procedimentos de risco (como intercorrências com contraste ou sedação).","Demonstração de ações como canais ativos para as partes interessadas (exemplo: caixas de sugestões, sistemas eletrônicos, reuniões de feedback). Dinâmicas de simulação realística, treinamentos em equipe, ou práticas de escuta ativa e lições aprendidas pós-eventos. Espaços visíveis de comunicação sobre aprendizados (exemplo: murais, dashboards, boletins de segurança). Aprendizado com base em incidentes (número de relatos, análises realizadas, melhorias implantadas). Aprendizado com base nas pesquisas de clima organizacional e de percepção da cultura justa. Relatos ou cases de melhorias implementadas a partir de lições aprendidas."
2.2,Atendimento Ambulatorial,1,"Desenvolver e implementar ações de promoção da saúde alinhadas ao perfil epidemiológico da população atendida, considerando os
principais agravos à saúde, bem como aspectos socioculturais e territoriais
relevantes.","A gestão da unidade deve planejar, executar e monitorar ações de
promoção da saúde com base em análise atualizada do perfil epidemiológico da população-alvo. Essas ações devem integrar-se às estratégias de cuidado adotadas pela
instituição e contemplar os principais agravos identificados, respeitando as características socioculturais e o contexto territorial da comunidade atendida. As iniciativas
podem incluir atividades educativas presenciais ou virtuais, campanhas de prevenção,
ações intersetoriais e o uso de mídias digitais para a disseminação de informações
confiáveis em saúde.","Plano anual de promoção da saúde elaborado a partir de
dados epidemiológicos locais. Relatórios de ações realizadas (palestras, oficinas,
campanhas, postagens educativas, lives), contendo informações sobre público-alvo,
temas abordados e resultados obtidos. Parcerias formais com escolas, empresas,
UBS (Unidades Básicas de Saúde) ou outras instituições locais. Registros fotográficos, materiais de divulgação e indicadores de alcance e/ou impacto das ações
implementadas."
2.2,Atendimento Ambulatorial,2,"Adotar métodos sistematizados para o agendamento e acompanhamento da demanda por consultas, exames e atendimentos especializados,considerando as necessidades dos pacientes e
os princípios do cuidado centrado na pessoa, com oferta de atendimentos individuais e/ou em grupo,quando apropriado.","A gestão deve assegurar que o processo de agendamento e acompanhamentos  das demandas seja estruturado, transparente e orientado por critérios clínicos preferências dos pacientes. A organização pode utilizar atendimentos individuais ou em grupo, conforme complexidade,  efetividade e natureza do cuidado necessário. O modelo adotado
 efetividade e natureza do cuidado necessário. O modelo deve promover a resolutividade, a continuidade do cuidado e a participação ativa do paciente, seja presencialmente ou por meio de tecnologias (exemplo: teleconsultas).","Fluxograma ou protocolo de regulação agendamento de atendimentos individuais e em grupo. risco e vulnerabilidade. e em grupo. Critérios de priorização baseados em necessidades clínicas,risco e vulnerabilidade. Registro de atendimentos realizados por tipo (individual/grupo), especialidade e tempo de espera. Relatórios de efetivação de encaminhamentos e retornos. Instrumento de consulta  ou pesquisa de satisfação dos pacientes sobre o processo de acesso e escolha do formato de atendimento."
